protocol,zipf,N,p99_latency_(ms)
jp-mencius-adaptive,0.9,10,0.0
jp-mencius-adaptive,1.0,10,21160.03
etcd,0.0,100,2949.15
etcd,0.5,100,2592.13
etcd,0.6,100,2730.72
etcd,0.7,100,2886.38
etcd,0.8,100,2906.8
etcd,0.9,100,2520.08
etcd,1.0,100,2655.93
jp-etcd-fp0,0.0,100,2495.85
jp-etcd-fp0,0.5,100,2572.81
jp-etcd-fp0,0.6,100,2664.2
jp-etcd-fp0,0.7,100,2029.45
jp-etcd-fp0,0.8,100,2710.72
jp-etcd-fp0,0.9,100,2859.33
jp-etcd-fp0,1.0,100,3031.68
jp-etcd-fp100,0.0,100,10552.48
jp-etcd-fp100,0.5,100,11389.21
jp-etcd-fp100,0.6,100,16508.82
jp-etcd-fp100,0.7,100,11992.4
jp-etcd-fp100,0.8,100,12719.96
jp-etcd-fp100,0.9,100,10572.47
jp-etcd-fp100,1.0,100,12220.02
jp-etcd-adaptive,0.0,100,10834.93
jp-etcd-adaptive,0.5,100,11503.35
jp-etcd-adaptive,0.6,100,12962.42
jp-etcd-adaptive,0.7,100,11643.46
jp-etcd-adaptive,0.8,100,10515.58
jp-etcd-adaptive,0.9,100,11282.93
jp-etcd-adaptive,1.0,100,11024.2
mongodb,0.0,1,-1.0
mongodb,0.5,1,-1.0
mongodb,0.6,1,-1.0
mongodb,0.7,1,-1.0
mongodb,0.8,1,-1.0
mongodb,0.9,1,-1.0
mongodb,1.0,1,-1.0
jp-mongodb-fp0,0.0,1,-1.0
jp-mongodb-fp0,0.5,1,-1.0
jp-mongodb-fp0,0.6,1,-1.0
jp-mongodb-fp0,0.7,1,-1.0
jp-mongodb-fp0,0.8,1,-1.0
jp-mongodb-fp0,0.9,1,-1.0
jp-mongodb-fp0,1.0,1,-1.0
jp-mongodb-fp100,0.0,25,45.98
jp-mongodb-fp100,0.5,25,45.26
jp-mongodb-fp100,0.6,25,45.86
jp-mongodb-fp100,0.7,25,0.0
jp-mongodb-fp100,0.8,25,47.03
jp-mongodb-fp100,0.9,25,45.39
jp-mongodb-fp100,1.0,25,45.67
jp-mongodb-adaptive,0.0,25,45.81
jp-mongodb-adaptive,0.5,25,45.43
jp-mongodb-adaptive,0.6,25,44.84
jp-mongodb-adaptive,0.7,25,45.21
jp-mongodb-adaptive,0.8,25,45.43
jp-mongodb-adaptive,0.9,25,45.46
jp-mongodb-adaptive,1.0,25,0.0
epaxos,0.0,200,1939.93
epaxos,0.5,200,1872.35
epaxos,0.6,200,1896.59
epaxos,0.7,200,1967.49
epaxos,0.8,200,1855.01
epaxos,0.9,200,1942.35
epaxos,1.0,200,1927.33
swiftpaxos,0.0,100,1416.02
swiftpaxos,0.5,100,1359.83
swiftpaxos,0.6,100,1370.9
swiftpaxos,0.7,100,1509.72
swiftpaxos,0.8,100,1481.88
swiftpaxos,0.9,100,1473.47
swiftpaxos,1.0,100,1309.8
curp,0.0,100,25099.36
curp,0.5,100,26613.93
curp,0.6,100,24242.38
curp,0.7,100,24932.05
curp,0.8,100,25351.69
curp,0.9,100,26749.5
curp,1.0,100,25895.37
