backend,mode,extra_args,concurrency,run_id,status,total_throughput,h1,h2,h3,h4,h5,cpu_all_avg,cpu_leader_avg,leader_queue_depth_avg,fastpath_attempt_rate,fastpath_success_rate,original_path_rate,error_count,error_summary,log_path
mongodb,adaptive,,1,56,OK,40.00,8.00,7.80,7.70,7.90,8.60,NA,6.0400,1.0000,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc1_attempt0.log
mongodb,adaptive,,5,57,OK,274.10,55.70,54.70,54.40,55.30,54.00,NA,6.6500,1.0000,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc5_attempt0.log
mongodb,adaptive,,10,58,OK,563.30,111.40,111.40,113.00,113.70,113.80,NA,6.9800,1.0000,100.00,100.00,0,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc10_attempt0.log
mongodb,adaptive,,25,59,OK,1465.50,293.90,295.60,291.10,292.50,292.40,NA,7.6000,1.0000,99.85,99.85,.15,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc25_attempt0.log
mongodb,adaptive,,50,60,OK,2964.80,590.40,600.30,592.50,591.20,590.40,NA,9.8700,1.0000,84.96,84.96,15.04,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc50_attempt0.log
mongodb,adaptive,,75,61,OK,3849.90,818.90,774.90,758.80,767.50,729.80,NA,9.1800,1.0000,66.86,66.86,33.14,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc75_attempt0.log
mongodb,adaptive,,100,62,OK,3858.30,781.40,779.10,789.00,722.80,786.00,NA,9.2300,1.0000,77.11,77.11,22.89,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc100_attempt2.log
mongodb,adaptive,,150,63,OK,3670.30,727.50,721.60,791.10,724.70,705.40,NA,9.4500,1.0000,82.21,82.21,17.79,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc150_attempt1.log
mongodb,adaptive,,200,64,OK,3542.10,757.80,705.90,720.40,678.10,679.90,NA,10.5800,1.0000,86.56,86.56,13.44,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc200_attempt0.log
mongodb,adaptive,,300,65,OK,3200.00,680.00,660.00,620.00,600.00,640.00,NA,13.9000,1.0000,88.15,88.15,11.85,0,;timeout,docs/sweep_2026-02-28/logs/jetpack-mongodb_rule_mongodb/conc300_attempt1.log
